Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Playoffs,Playoffs_S
Cincinnati Royals,80.0,,47.6,105.2,0.452,,,,47.6,105.2,0.452,27.9,37.1,0.752,,,70.8,26.9,,,,26.0,123.1,1962,True,False
Boston Celtics,80.0,,48.2,113.9,0.423,,,,48.2,113.9,0.423,24.7,33.9,0.728,,,76.0,25.6,,,,23.9,121.1,1962,True,False
Syracuse Nationals,80.0,,46.3,110.9,0.418,,,,46.3,110.9,0.418,28.1,36.0,0.78,,,72.1,22.4,,,,29.3,120.7,1962,True,False
St. Louis Hawks,80.0,,45.5,105.8,0.43,,,,45.5,105.8,0.43,27.8,36.7,0.757,,,69.5,25.0,,,,27.1,118.9,1962,False,False
Los Angeles Lakers,80.0,,44.4,103.9,0.427,,,,44.4,103.9,0.427,29.7,40.5,0.734,,,70.0,23.5,,,,25.7,118.5,1962,True,False
Detroit Pistons,80.0,,43.4,104.6,0.415,,,,43.4,104.6,0.415,28.6,39.3,0.729,,,72.8,21.5,,,,25.5,115.4,1962,True,False
New York Knicks,80.0,,45.5,108.7,0.418,,,,45.5,108.7,0.418,23.9,33.7,0.71,,,68.0,22.1,,,,25.7,114.8,1962,False,False
Chicago Packers,80.0,,43.3,105.1,0.412,,,,43.3,105.1,0.412,24.4,36.3,0.673,,,69.3,22.5,,,,24.4,110.9,1962,False,False
League Average,80.0,,45.9,107.7,0.426,,,,45.9,107.7,0.426,27.0,37.1,0.727,,,71.4,23.9,,,,25.9,118.8,1962,False,False
Los Angeles Lakers,13.0,241.9,42.3,100.2,0.422,,,,42.3,100.2,0.422,33.1,43.1,0.768,,,70.3,21.8,,,,26.4,117.7,1962,,True
Cincinnati Royals,4.0,240.0,46.0,98.3,0.468,,,,46.0,98.3,0.468,25.3,31.0,0.815,,,63.5,25.0,,,,26.5,117.3,1962,,True
