Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Playoffs,Playoffs_S
Dallas Mavericks,82.0,241.2,39.6,84.4,0.469,2.6,8.3,0.31,37.0,76.0,0.486,21.8,27.6,0.789,12.8,29.2,42.0,22.8,7.1,5.8,15.0,21.2,103.5,1989,False,False
Miami Heat,82.0,242.1,39.3,86.8,0.453,1.2,3.6,0.326,38.1,83.1,0.458,18.0,25.6,0.702,16.0,27.0,42.9,23.9,9.1,5.0,21.1,25.9,97.8,1989,False,False
League Average,82.0,241.5,42.5,89.0,0.477,2.1,6.6,0.323,40.4,82.4,0.49,22.1,28.8,0.768,14.5,29.4,43.9,25.6,9.1,5.3,17.2,23.7,109.2,1989,False,False
Phoenix Suns,12.0,240.0,45.0,95.1,0.473,2.8,8.8,0.314,42.3,86.3,0.489,25.6,30.4,0.841,16.9,33.4,50.3,27.5,9.3,4.6,15.8,22.8,118.3,1989,,True
Denver Nuggets,3.0,240.0,43.3,94.7,0.458,5.3,13.0,0.41,38.0,81.7,0.465,20.7,25.7,0.805,12.0,32.3,44.3,24.0,7.7,1.7,16.7,29.0,112.7,1989,,True
Los Angeles Lakers,15.0,240.0,40.0,80.5,0.497,3.4,9.7,0.349,36.6,70.8,0.517,27.1,34.7,0.781,12.5,29.6,42.1,25.4,6.9,4.9,14.7,22.5,110.5,1989,,True
Golden State Warriors,8.0,240.0,42.8,93.9,0.455,2.6,12.8,0.206,40.1,81.1,0.495,21.8,26.5,0.821,14.1,29.0,43.1,20.0,9.8,8.5,14.5,24.3,109.9,1989,,True
Portland Trail Blazers,3.0,240.0,42.7,94.0,0.454,3.0,9.7,0.31,39.7,84.3,0.47,18.7,24.7,0.757,17.7,23.7,41.3,27.0,7.0,5.3,13.3,24.7,107.0,1989,,True
New York Knicks,9.0,245.6,40.4,85.0,0.476,4.3,12.1,0.358,36.1,72.9,0.495,21.6,29.7,0.727,15.2,28.0,43.2,26.1,7.9,4.0,16.1,25.6,106.8,1989,,True
Houston Rockets,4.0,240.0,40.0,84.8,0.472,2.8,7.3,0.379,37.3,77.5,0.481,23.8,32.5,0.731,12.8,26.5,39.3,24.3,9.3,5.3,16.5,25.0,106.5,1989,,True
Philadelphia 76ers,3.0,248.3,42.7,88.3,0.483,1.3,7.0,0.19,41.3,81.3,0.508,19.0,27.0,0.704,10.7,29.3,40.0,29.0,6.7,4.7,12.3,25.0,105.7,1989,,True
Utah Jazz,3.0,240.0,38.3,89.7,0.428,4.0,11.3,0.353,34.3,78.3,0.438,24.7,29.7,0.831,18.0,32.0,50.0,18.0,7.0,5.0,18.7,26.0,105.3,1989,,True
Atlanta Hawks,5.0,250.0,35.4,78.6,0.45,2.6,9.2,0.283,32.8,69.4,0.473,29.8,38.6,0.772,15.2,26.4,41.6,25.6,5.4,5.8,13.2,24.0,103.2,1989,,True
Seattle Supersonics,8.0,240.0,39.9,87.9,0.454,2.6,10.0,0.263,37.3,77.9,0.478,19.6,27.6,0.71,17.4,26.4,43.8,23.3,8.6,7.5,15.8,27.3,102.0,1989,,True
Detroit Pistons,17.0,240.0,37.9,80.1,0.473,2.5,8.4,0.296,35.4,71.7,0.494,22.4,29.4,0.762,13.8,30.4,44.2,22.6,4.9,4.5,12.1,25.0,100.6,1989,,True
Chicago Bulls,17.0,242.9,36.6,78.1,0.469,4.3,12.2,0.353,32.4,65.9,0.491,22.1,29.1,0.759,12.2,29.0,41.2,23.5,7.8,4.2,15.9,26.4,99.6,1989,,True
Cleveland Cavaliers,5.0,245.0,36.4,77.6,0.469,2.2,6.6,0.333,34.2,71.0,0.482,22.2,31.0,0.716,12.4,27.8,40.2,23.0,7.6,7.4,15.6,21.0,97.2,1989,,True
Milwaukee Bucks,9.0,245.6,36.2,78.3,0.462,2.3,7.9,0.296,33.9,70.4,0.481,22.4,26.8,0.838,10.7,25.1,35.8,23.2,5.7,2.1,11.2,26.2,97.2,1989,,True
Boston Celtics,3.0,240.0,37.0,83.3,0.444,0.0,2.7,0.0,37.0,80.7,0.459,16.3,22.3,0.731,9.7,30.3,40.0,21.7,6.7,2.3,14.0,24.0,90.3,1989,,True
League Average,8.0,242.0,39.4,84.1,0.469,3.0,9.7,0.314,36.4,74.4,0.489,23.0,29.7,0.773,13.8,29.0,42.8,24.1,7.3,4.9,14.6,24.8,104.9,1989,,True
Golden State Warriors,82.0,240.3,42.5,87.9,0.484,3.0,9.1,0.324,39.6,78.8,0.503,28.2,34.9,0.809,11.2,29.1,40.2,24.1,9.2,6.0,17.3,24.5,116.3,1990,False,False
Phoenix Suns,82.0,242.1,43.2,87.1,0.496,2.1,6.6,0.324,41.1,80.4,0.511,26.3,33.1,0.795,12.8,32.3,45.2,25.7,8.1,6.1,15.5,22.3,114.9,1990,True,False
Denver Nuggets,82.0,241.5,45.3,97.7,0.464,2.8,8.3,0.337,42.5,89.5,0.475,21.2,26.8,0.789,14.3,30.9,45.1,27.7,9.9,4.0,13.9,25.0,114.6,1990,True,False
Portland Trail Blazers,82.0,242.4,43.6,92.0,0.473,2.3,6.9,0.336,41.2,85.1,0.484,24.8,33.3,0.743,16.5,31.1,47.6,25.4,9.1,4.4,16.5,25.0,114.2,1990,True,False
Orlando Magic,82.0,241.5,42.2,91.8,0.459,1.4,4.8,0.295,40.7,87.0,0.468,25.1,33.2,0.756,15.9,30.1,46.0,24.3,7.5,3.6,17.2,24.1,110.9,1990,False,False
Los Angeles Lakers,82.0,242.1,41.9,85.5,0.49,3.8,10.3,0.367,38.1,75.2,0.507,23.2,29.5,0.787,13.4,30.0,43.4,27.2,8.0,5.4,15.0,21.2,110.7,1990,True,False
Philadelphia 76ers,82.0,241.5,41.9,85.7,0.489,2.3,6.6,0.348,39.6,79.1,0.501,24.1,30.6,0.788,13.5,29.3,42.9,23.6,8.4,4.5,14.7,20.7,110.2,1990,True,False
Boston Celtics,82.0,240.3,43.5,87.2,0.498,1.3,4.9,0.262,42.2,82.2,0.513,21.8,26.3,0.832,13.0,33.0,46.0,29.5,6.6,5.5,15.3,20.9,110.0,1990,True,False
Chicago Bulls,82.0,241.8,43.1,86.5,0.498,3.0,8.2,0.374,40.0,78.3,0.511,20.3,26.1,0.778,13.1,27.8,40.9,26.5,9.9,4.7,15.2,23.2,109.5,1990,True,False
Indiana Pacers,82.0,242.4,41.2,83.0,0.497,3.6,9.4,0.382,37.6,73.6,0.511,23.2,28.5,0.816,11.5,29.1,40.6,24.7,6.7,4.3,16.4,24.0,109.3,1990,True,False
Atlanta Hawks,82.0,240.6,41.7,85.6,0.487,1.5,5.0,0.302,40.2,80.6,0.498,23.7,31.0,0.764,15.5,26.7,42.2,22.2,8.7,4.3,15.5,22.8,108.5,1990,False,False
New York Knicks,82.0,241.8,41.9,86.5,0.484,2.9,8.7,0.332,39.0,77.8,0.501,21.6,28.6,0.756,14.5,29.6,44.1,26.1,8.7,6.0,17.2,22.3,108.3,1990,True,False
Washington Bullets,82.0,241.8,43.9,92.5,0.475,0.5,2.4,0.188,43.4,90.0,0.482,19.5,25.5,0.764,14.6,29.9,44.5,27.0,6.8,5.2,14.6,23.5,107.7,1990,False,False
Seattle SuperSonics,82.0,242.7,42.3,88.3,0.479,2.8,7.9,0.355,39.5,80.4,0.491,19.6,26.4,0.741,16.1,27.5,43.6,22.9,8.5,4.1,16.3,25.2,106.9,1990,False,False
Utah Jazz,82.0,241.8,40.6,80.4,0.505,2.8,7.7,0.359,37.9,72.7,0.521,22.9,30.3,0.754,11.6,30.5,42.1,27.0,8.3,6.0,17.2,24.8,106.8,1990,True,False
Houston Rockets,82.0,241.5,42.5,88.4,0.48,1.9,6.0,0.312,40.6,82.4,0.493,19.9,27.6,0.72,14.8,32.2,47.0,26.8,9.9,6.7,18.5,23.6,106.7,1990,True,False
San Antonio Spurs,82.0,240.6,41.3,85.3,0.484,0.7,2.8,0.239,40.7,82.6,0.492,23.0,30.9,0.745,14.2,30.2,44.4,24.8,9.7,6.8,17.1,22.6,106.3,1990,True,False
Milwaukee Bucks,82.0,241.8,41.2,87.1,0.473,2.5,8.2,0.312,38.7,79.0,0.49,21.0,27.7,0.758,13.5,27.4,40.9,25.0,10.1,4.0,16.0,25.4,106.0,1990,True,False
Detroit Pistons,82.0,241.5,40.6,85.1,0.478,2.2,6.6,0.327,38.5,78.5,0.49,20.9,27.5,0.761,14.5,30.0,44.4,24.3,6.2,5.1,15.0,23.9,104.3,1990,True,False
Los Angeles Clippers,82.0,241.5,40.5,83.6,0.484,0.7,2.8,0.243,39.8,80.8,0.493,22.1,30.0,0.738,12.9,28.8,41.7,24.1,9.5,6.2,18.9,22.7,103.8,1990,False,False
Cleveland Cavaliers,82.0,242.4,39.2,85.1,0.461,4.2,10.4,0.407,35.0,74.7,0.468,20.0,26.8,0.744,13.8,29.0,42.8,25.7,7.9,6.2,15.2,20.3,102.6,1990,True,False
Dallas Mavericks,82.0,242.1,39.6,83.3,0.475,1.9,5.9,0.323,37.7,77.4,0.487,21.2,27.6,0.767,12.7,29.5,42.2,21.7,8.1,4.9,15.0,21.1,102.2,1990,True,False
Sacramento Kings,82.0,240.9,40.3,86.0,0.468,2.6,7.9,0.333,37.7,78.1,0.482,18.5,24.0,0.771,11.6,28.8,40.4,25.0,6.7,4.8,15.1,22.7,101.7,1990,False,False
Miami Heat,82.0,240.6,41.3,89.6,0.461,1.1,3.7,0.293,40.2,85.9,0.468,17.0,24.7,0.687,15.1,28.2,43.4,23.9,9.0,4.7,19.0,25.9,100.6,1990,False,False
Charlotte Hornets,82.0,240.9,39.9,87.6,0.455,2.5,7.5,0.336,37.4,80.1,0.466,18.1,24.0,0.756,11.7,27.0,38.7,25.4,9.5,3.2,15.0,23.0,100.4,1990,False,False
New Jersey Nets,82.0,240.3,38.5,90.4,0.426,1.7,6.2,0.277,36.8,84.3,0.437,21.4,28.7,0.746,16.6,28.3,45.0,18.0,9.4,5.9,16.6,23.8,100.1,1990,False,False
Minnesota Timberwolves,82.0,242.1,37.4,83.9,0.446,0.9,3.6,0.248,36.5,80.3,0.455,19.5,26.1,0.747,14.6,25.0,39.6,22.5,9.6,4.2,14.6,23.2,95.2,1990,False,False
League Average,82.0,241.5,41.5,87.2,0.476,2.2,6.6,0.331,39.3,80.6,0.488,21.8,28.5,0.764,13.8,29.3,43.1,24.9,8.5,5.1,16.1,23.3,107.0,1990,False,False
Boston Celtics,5.0,240.0,45.6,83.2,0.548,1.6,6.8,0.235,44.0,76.4,0.576,26.0,30.2,0.861,11.8,28.2,40.0,30.2,6.8,6.0,17.4,21.2,118.8,1990,,True
San Antonio Spurs,10.0,247.5,47.9,95.3,0.503,0.5,2.9,0.172,47.4,92.4,0.513,20.7,29.5,0.702,15.6,32.7,48.3,30.4,8.5,6.2,16.8,27.7,117.0,1990,,True
Denver Nuggets,3.0,240.0,43.3,98.7,0.439,2.7,10.7,0.25,40.7,88.0,0.462,25.0,28.7,0.872,13.0,31.0,44.0,28.7,9.3,4.7,12.7,25.7,114.3,1990,,True
Phoenix Suns,16.0,240.0,39.7,83.3,0.477,2.3,7.2,0.313,37.4,76.1,0.492,26.5,33.6,0.79,12.3,31.6,43.9,23.0,6.7,4.9,15.5,23.3,108.1,1990,,True
Portland Trail Blazers,21.0,244.8,39.3,88.4,0.445,3.1,9.3,0.333,36.2,79.1,0.458,25.4,34.9,0.727,15.5,28.7,44.2,23.5,8.7,5.4,16.0,26.7,107.1,1990,,True
Cleveland Cavaliers,5.0,240.0,40.2,77.8,0.517,2.2,7.0,0.314,38.0,70.8,0.537,24.2,31.2,0.776,9.2,31.6,40.8,27.4,6.6,4.6,13.0,22.2,106.8,1990,,True
Los Angeles Lakers,9.0,240.0,40.3,80.9,0.499,2.8,9.6,0.291,37.6,71.3,0.526,22.7,28.3,0.8,12.4,27.8,40.2,25.0,8.7,5.7,15.8,23.4,106.1,1990,,True
New York Knicks,10.0,240.0,40.3,84.5,0.477,2.5,6.9,0.362,37.8,77.6,0.487,21.9,28.5,0.768,13.0,26.4,39.4,26.8,8.4,3.4,13.3,23.1,105.0,1990,,True
Utah Jazz,5.0,240.0,40.4,87.6,0.461,3.2,9.6,0.333,37.2,78.0,0.477,18.4,25.4,0.724,13.0,27.6,40.6,25.4,8.6,5.8,12.8,28.4,102.4,1990,,True
Philadelphia 76ers,10.0,240.0,37.9,79.9,0.474,2.6,8.2,0.317,35.3,71.7,0.492,23.7,30.8,0.769,12.8,27.1,39.9,22.8,6.3,4.9,15.0,21.6,102.1,1990,,True
Chicago Bulls,16.0,240.0,38.1,81.4,0.469,2.7,8.9,0.303,35.4,72.5,0.489,22.9,30.2,0.76,13.1,27.1,40.1,22.8,8.6,4.3,14.4,25.6,101.9,1990,,True
Detroit Pistons,20.0,241.3,38.6,81.9,0.471,3.1,8.4,0.369,35.5,73.5,0.482,21.6,28.7,0.751,14.0,29.8,43.7,21.1,6.7,4.5,15.1,25.1,101.8,1990,,True
Milwaukee Bucks,4.0,240.0,35.0,73.3,0.478,3.8,10.8,0.349,31.3,62.5,0.5,27.3,35.5,0.768,10.0,23.5,33.5,22.5,9.0,4.8,17.0,29.8,101.0,1990,,True
Dallas Mavericks,3.0,240.0,38.3,81.0,0.473,3.0,9.7,0.31,35.3,71.3,0.495,20.7,27.0,0.765,11.3,28.7,40.0,20.3,8.0,5.7,18.0,27.3,100.3,1990,,True
Houston Rockets,4.0,240.0,38.3,84.5,0.453,2.8,10.0,0.275,35.5,74.5,0.477,18.5,27.8,0.667,15.3,23.8,39.0,22.8,9.0,6.5,14.5,21.8,97.8,1990,,True
Indiana Pacers,3.0,240.0,35.0,76.0,0.461,1.7,7.7,0.217,33.3,68.3,0.488,20.0,24.3,0.822,11.0,25.3,36.3,17.3,3.7,2.3,14.7,25.7,91.7,1990,,True
League Average,9.0,241.4,39.9,84.0,0.475,2.6,8.1,0.316,37.3,75.9,0.492,23.2,30.5,0.761,13.3,28.7,42.0,24.1,7.8,5.0,15.2,24.9,105.5,1990,,True
Denver Nuggets,82.0,240.6,47.6,108.1,0.44,3.7,12.9,0.283,43.9,95.2,0.461,21.0,27.6,0.763,18.5,30.9,49.4,24.5,10.4,5.0,16.2,27.3,119.9,1991,False,False
Golden State Warriors,82.0,241.5,43.5,89.6,0.485,3.3,9.8,0.337,40.2,79.8,0.504,26.4,33.7,0.783,13.6,28.1,41.7,23.8,9.8,4.6,16.6,26.9,116.6,1991,True,False
Portland Trail Blazers,82.0,242.7,43.6,89.9,0.485,4.2,11.0,0.377,39.5,78.8,0.501,23.3,31.0,0.753,14.7,31.2,45.9,27.5,8.8,5.0,16.0,24.1,114.7,1991,True,False
Phoenix Suns,82.0,240.6,43.6,87.8,0.496,1.7,5.3,0.319,41.9,82.5,0.508,25.2,32.7,0.77,13.8,31.7,45.5,26.9,8.4,6.5,15.9,22.6,114.0,1991,True,False
Indiana Pacers,82.0,241.5,42.1,85.3,0.493,3.0,9.1,0.332,39.0,76.2,0.513,24.5,30.2,0.811,12.4,29.0,41.4,26.6,8.0,4.4,16.5,25.5,111.7,1991,True,False
Boston Celtics,82.0,241.5,45.1,88.0,0.512,1.3,4.2,0.315,43.7,83.8,0.522,20.1,24.4,0.824,13.3,32.9,46.2,26.3,8.2,6.9,16.1,20.7,111.5,1991,True,False
Chicago Bulls,82.0,240.9,44.3,86.9,0.51,1.9,5.2,0.366,42.4,81.7,0.519,19.6,25.7,0.76,14.0,28.6,42.6,27.0,10.0,5.3,14.4,21.4,110.0,1991,True,False
Atlanta Hawks,82.0,240.9,40.8,88.1,0.464,3.3,10.2,0.324,37.5,77.9,0.482,24.8,31.0,0.8,15.1,29.5,44.6,22.7,8.9,4.6,15.0,21.6,109.8,1991,True,False
San Antonio Spurs,82.0,241.8,41.6,85.2,0.488,1.0,3.6,0.273,40.6,81.6,0.497,23.0,30.0,0.766,13.8,32.4,46.2,26.1,8.2,7.0,17.6,23.1,107.1,1991,True,False
Houston Rockets,82.0,242.1,41.5,88.9,0.467,3.9,12.1,0.32,37.6,76.8,0.49,19.9,26.8,0.741,15.5,30.6,46.1,23.2,9.7,5.0,17.1,22.9,106.7,1991,True,False
Seattle SuperSonics,82.0,242.4,42.7,86.8,0.492,1.7,5.2,0.319,41.0,81.6,0.503,19.6,26.1,0.75,14.9,26.5,41.4,24.9,10.5,4.6,17.1,24.1,106.6,1991,True,False
Milwaukee Bucks,82.0,242.1,40.7,84.7,0.48,3.1,9.2,0.341,37.6,75.5,0.497,21.9,27.3,0.801,13.2,26.4,39.5,25.3,10.9,4.0,16.1,24.8,106.4,1991,True,False
Los Angeles Lakers,82.0,241.8,40.8,84.3,0.484,2.8,9.1,0.304,38.0,75.2,0.505,22.0,27.6,0.798,13.1,29.8,42.9,25.5,7.8,4.7,14.7,18.6,106.3,1991,True,False
Orlando Magic,82.0,241.2,40.2,88.5,0.455,3.3,9.2,0.358,36.9,79.3,0.466,22.2,29.8,0.743,15.0,29.6,44.7,22.1,7.3,3.7,17.0,24.1,105.9,1991,False,False
Philadelphia 76ers,82.0,244.9,40.1,84.5,0.475,2.4,7.5,0.316,37.7,76.9,0.491,22.8,28.9,0.79,12.0,30.4,42.4,22.2,8.3,5.8,15.0,19.9,105.4,1991,True,False
Utah Jazz,82.0,241.2,39.2,79.7,0.492,1.8,5.6,0.323,37.4,74.1,0.504,23.8,30.1,0.789,10.6,30.2,40.7,27.0,8.0,5.5,15.9,21.9,104.0,1991,True,False
Los Angeles Clippers,82.0,241.5,41.4,89.2,0.464,1.4,5.3,0.26,40.0,83.9,0.476,19.5,27.7,0.702,15.2,30.5,45.7,25.8,8.8,6.2,17.5,24.9,103.5,1991,False,False
New York Knicks,82.0,243.4,40.3,83.2,0.485,2.3,6.8,0.332,38.1,76.4,0.499,20.2,26.2,0.77,12.8,29.7,42.5,26.5,7.8,5.1,16.8,21.5,103.1,1991,True,False
New Jersey Nets,82.0,241.8,40.4,91.0,0.444,2.0,7.1,0.275,38.4,83.8,0.458,20.2,27.4,0.739,17.1,28.6,45.7,21.7,9.1,7.3,17.4,23.8,102.9,1991,False,False
Charlotte Hornets,82.0,241.5,40.1,85.8,0.467,1.6,5.1,0.314,38.5,80.7,0.477,21.0,27.0,0.779,12.5,26.8,39.4,24.6,9.3,3.7,15.7,23.7,102.8,1991,False,False
Miami Heat,82.0,241.2,40.0,87.1,0.459,1.7,5.7,0.302,38.3,81.4,0.47,20.1,28.1,0.715,15.0,28.1,43.1,23.2,9.2,4.7,18.9,25.4,101.8,1991,False,False
Cleveland Cavaliers,82.0,241.8,39.7,83.6,0.475,2.0,5.8,0.334,37.8,77.8,0.486,20.3,26.5,0.765,12.3,28.4,40.7,27.3,7.8,5.5,15.6,20.4,101.7,1991,False,False
Washington Bullets,82.0,242.1,41.3,88.6,0.466,0.7,3.5,0.194,40.7,85.2,0.478,18.0,24.7,0.729,14.3,29.1,43.5,25.4,7.2,5.7,16.6,23.5,101.4,1991,False,False
Detroit Pistons,82.0,241.5,39.0,83.8,0.465,1.6,5.4,0.298,37.4,78.5,0.476,20.6,27.0,0.763,14.7,29.9,44.6,22.3,5.9,4.5,14.4,22.8,100.1,1991,True,False
Dallas Mavericks,82.0,241.5,39.6,84.0,0.471,2.4,7.3,0.322,37.2,76.7,0.485,18.4,24.2,0.761,12.0,28.8,40.8,22.2,7.1,4.8,14.5,22.4,99.9,1991,False,False
Minnesota Timberwolves,82.0,242.7,39.8,88.7,0.449,1.3,4.6,0.283,38.5,84.1,0.458,18.7,25.4,0.735,15.5,25.8,41.3,23.0,8.7,5.4,13.0,22.7,99.6,1991,False,False
Sacramento Kings,82.0,240.3,37.6,83.1,0.453,2.6,7.0,0.374,35.0,76.1,0.46,18.8,25.7,0.732,12.5,27.0,39.6,24.3,7.7,6.3,15.5,25.3,96.7,1991,False,False
League Average,82.0,241.8,41.4,87.2,0.474,2.3,7.1,0.32,39.1,80.1,0.488,21.3,27.9,0.765,14.0,29.3,43.3,24.7,8.6,5.3,16.0,23.2,106.3,1991,False,False
Indiana Pacers,5.0,240.0,41.8,84.8,0.493,5.2,11.6,0.448,36.6,73.2,0.5,29.6,35.4,0.836,10.6,26.2,36.8,24.2,7.8,4.2,15.0,29.0,118.4,1991,,True
Golden State Warriors,9.0,242.8,43.8,87.9,0.498,4.9,13.0,0.376,38.9,74.9,0.519,22.0,27.4,0.802,9.0,27.8,36.8,24.7,8.6,6.0,12.8,29.8,114.4,1991,,True
Boston Celtics,11.0,242.3,41.2,83.1,0.496,0.9,4.2,0.217,40.3,78.9,0.51,27.1,33.8,0.801,11.5,30.5,42.0,22.1,6.5,3.8,12.7,25.0,110.4,1991,,True
San Antonio Spurs,4.0,240.0,40.5,83.3,0.486,0.8,6.5,0.115,39.8,76.8,0.518,26.0,34.5,0.754,12.0,31.3,43.3,26.5,9.5,5.8,17.3,23.3,107.8,1991,,True
Utah Jazz,9.0,240.0,38.4,81.2,0.473,1.9,6.0,0.315,36.6,75.2,0.486,26.3,31.3,0.84,11.1,31.9,43.0,26.2,6.3,3.9,14.2,26.9,105.1,1991,,True
Chicago Bulls,17.0,241.5,40.9,79.6,0.514,1.8,5.4,0.326,39.2,74.2,0.528,20.3,26.6,0.763,12.5,27.7,40.2,25.5,9.5,4.5,12.5,22.2,103.9,1991,,True
Portland Trail Blazers,16.0,240.0,38.8,82.6,0.47,2.8,9.0,0.306,36.1,73.6,0.49,23.5,31.9,0.736,15.1,27.4,42.5,23.5,8.1,3.6,15.0,23.5,103.9,1991,,True
Los Angeles Lakers,19.0,242.6,38.3,79.3,0.483,3.4,9.9,0.34,34.9,69.4,0.503,23.8,30.2,0.789,11.5,27.8,39.3,23.1,7.1,4.8,14.7,20.4,103.8,1991,,True
Seattle Supersonics,5.0,240.0,37.8,82.4,0.459,2.6,9.2,0.283,35.2,73.2,0.481,25.4,31.0,0.819,13.4,25.2,38.6,20.8,9.2,4.6,16.2,27.0,103.6,1991,,True
Detroit Pistons,15.0,241.7,38.5,86.6,0.444,3.1,9.7,0.317,35.4,76.9,0.46,21.1,28.8,0.731,16.3,28.4,44.7,20.7,5.3,3.9,11.5,25.9,101.1,1991,,True
Philadelphia 76ers,8.0,243.1,36.3,74.8,0.485,2.9,8.1,0.354,33.4,66.6,0.501,25.5,31.9,0.8,9.9,27.8,37.6,22.4,8.6,4.4,13.8,20.6,100.9,1991,,True
Milwaukee Bucks,3.0,248.3,40.0,84.7,0.472,3.7,10.3,0.355,36.3,74.3,0.489,17.0,23.0,0.739,11.7,26.7,38.3,24.3,8.0,1.7,17.0,25.7,100.7,1991,,True
Atlanta Hawks,5.0,240.0,33.0,82.6,0.4,2.6,10.4,0.25,30.4,72.2,0.421,28.6,34.4,0.831,15.0,29.2,44.2,16.8,6.6,2.8,11.6,23.4,97.2,1991,,True
Phoenix Suns,4.0,240.0,34.0,81.3,0.418,2.3,8.5,0.265,31.8,72.8,0.436,25.5,35.0,0.729,10.8,28.3,39.0,22.3,7.0,6.5,13.8,24.5,95.8,1991,,True
Houston Rockets,3.0,240.0,38.3,83.0,0.462,4.0,13.0,0.308,34.3,70.0,0.49,12.7,16.3,0.776,12.0,28.7,40.7,24.3,7.0,4.3,15.7,24.0,93.3,1991,,True
New York Knicks,3.0,240.0,32.3,73.0,0.443,3.7,9.3,0.393,28.7,63.7,0.45,17.7,22.0,0.803,11.3,27.3,38.7,20.7,5.3,3.7,22.3,27.0,86.0,1991,,True
League Average,9.0,241.5,39.0,81.9,0.475,2.8,8.6,0.323,36.2,73.4,0.493,23.5,30.1,0.78,12.5,28.3,40.8,23.2,7.5,4.3,14.0,24.3,104.2,1991,,True
Golden State Warriors,82.0,242.4,45.9,90.6,0.507,3.1,9.3,0.333,42.8,81.3,0.527,23.7,31.8,0.746,13.9,29.0,42.8,25.2,10.4,4.6,16.5,25.0,118.7,1992,True,False
Indiana Pacers,82.0,243.4,42.7,86.3,0.494,4.1,11.5,0.354,38.6,74.9,0.516,22.8,28.8,0.79,13.2,31.3,44.5,29.2,8.6,4.8,17.1,26.1,112.2,1992,True,False
Phoenix Suns,82.0,241.5,43.3,88.0,0.492,2.8,7.3,0.381,40.6,80.8,0.502,22.7,29.2,0.776,13.3,31.2,44.5,26.9,8.2,7.1,15.1,22.6,112.1,1992,True,False
Portland Trail Blazers,82.0,242.4,42.4,89.7,0.473,4.0,11.5,0.344,38.4,78.1,0.492,22.7,30.0,0.754,15.8,31.1,46.9,25.2,9.2,5.0,16.2,24.2,111.4,1992,True,False
Chicago Bulls,82.0,241.8,44.4,87.4,0.508,1.7,5.5,0.304,42.7,81.9,0.522,19.4,26.0,0.744,14.3,29.7,44.0,27.8,8.2,5.9,13.3,20.6,109.9,1992,True,False
Charlotte Hornets,82.0,241.5,44.1,92.3,0.477,1.4,4.5,0.317,42.6,87.8,0.486,20.0,26.4,0.755,14.2,28.9,43.1,27.9,10.0,3.8,15.5,22.2,109.5,1992,False,False
Cleveland Cavaliers,82.0,241.5,41.8,85.7,0.488,3.1,8.6,0.357,38.7,77.0,0.502,22.2,27.5,0.805,12.7,29.9,42.6,27.6,7.5,7.6,13.1,19.0,108.9,1992,True,False
Utah Jazz,82.0,242.4,41.2,83.7,0.492,1.9,5.6,0.345,39.3,78.1,0.503,23.9,30.4,0.788,13.4,31.0,44.4,26.7,8.7,5.5,15.4,21.3,108.3,1992,True,False
Boston Celtics,82.0,241.2,43.2,87.8,0.492,1.3,4.4,0.306,41.9,83.4,0.502,18.9,23.4,0.808,13.4,31.5,44.9,25.3,7.8,5.9,14.2,20.6,106.6,1992,True,False
Seattle SuperSonics,82.0,242.1,41.2,86.9,0.474,2.5,7.9,0.317,38.7,79.0,0.49,21.6,27.6,0.783,15.6,27.5,43.2,22.9,9.5,5.5,16.1,23.8,106.5,1992,True,False
Atlanta Hawks,82.0,242.7,42.6,91.2,0.467,2.6,8.2,0.313,40.0,83.0,0.482,18.5,25.3,0.731,15.7,30.5,46.2,25.9,9.7,3.9,15.3,21.6,106.2,1992,False,False
New Jersey Nets,82.0,241.2,42.4,92.4,0.458,2.7,8.2,0.334,39.6,84.3,0.47,17.9,24.5,0.732,18.4,29.2,47.6,23.6,9.0,7.5,17.0,22.4,105.4,1992,True,False
Miami Heat,82.0,241.8,39.7,86.1,0.461,3.1,9.2,0.342,36.6,77.0,0.475,22.4,28.4,0.79,14.5,28.9,43.3,21.3,8.2,4.5,16.8,22.2,105.0,1992,True,False
Milwaukee Bucks,82.0,242.4,40.5,88.0,0.46,4.5,12.3,0.369,36.0,75.7,0.475,19.5,25.7,0.759,15.8,26.5,42.3,24.6,10.5,3.9,16.5,23.2,105.0,1992,False,False
Sacramento Kings,82.0,241.8,40.8,87.7,0.466,2.9,8.2,0.353,37.9,79.4,0.477,19.7,26.4,0.747,12.9,28.7,41.6,23.9,8.9,7.5,16.6,21.5,104.3,1992,False,False
San Antonio Spurs,82.0,241.2,41.2,86.5,0.476,1.4,4.9,0.292,39.7,81.5,0.487,20.1,27.4,0.736,15.0,31.1,46.1,24.5,8.9,7.4,16.0,21.9,104.0,1992,True,False
Los Angeles Clippers,82.0,241.8,40.8,86.3,0.473,1.8,6.1,0.289,39.0,80.2,0.487,19.5,27.1,0.72,13.8,29.2,43.0,25.0,10.0,6.1,15.5,22.8,102.9,1992,True,False
Washington Bullets,82.0,242.1,41.0,89.0,0.461,1.8,6.5,0.272,39.2,82.5,0.476,18.5,23.9,0.778,13.0,28.6,41.6,24.5,8.7,5.1,15.3,22.6,102.4,1992,False,False
