Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G,Year,Playoffs,Playoffs_S,W/L%
League Average,26.8,,,4.0,4.0,,,,104.8,104.8,,95.2,0.328,0.025,0.519,0.473,14.5,33.6,0.244,0.473,14.5,66.4,0.244,,,,1981,,True,
Boston Celtics,27.3,63.0,19.0,57.0,25.0,6.38,-0.03,6.35,109.8,103.5,6.3,101.5,0.335,0.025,0.545,0.502,14.7,35.8,0.248,0.472,14.6,67.6,0.22,Boston Garden,612711.0,15057.0,1982,True,False,
Philadelphia 76ers,28.1,58.0,24.0,56.0,26.0,5.73,0.0,5.74,109.6,103.9,5.7,100.6,0.354,0.02,0.566,0.521,15.5,30.5,0.265,0.48,16.5,65.0,0.261,The Spectrum,498901.0,12168.0,1982,True,False,
Milwaukee Bucks,27.3,55.0,27.0,55.0,27.0,5.48,-0.1,5.38,107.7,102.3,5.4,100.0,0.332,0.023,0.553,0.509,16.5,35.1,0.25,0.471,15.9,67.3,0.253,MECCA Arena,443288.0,10812.0,1982,True,False,
Los Angeles Lakers,26.8,57.0,25.0,53.0,29.0,4.87,-0.5,4.37,110.2,105.5,4.7,103.1,0.285,0.012,0.551,0.518,14.7,35.8,0.204,0.493,14.8,66.3,0.187,The Forum,605236.0,14762.0,1982,True,False,
Seattle SuperSonics,26.4,52.0,30.0,52.0,30.0,4.13,-0.45,3.69,106.4,102.3,4.1,100.0,0.329,0.021,0.535,0.491,14.1,31.3,0.243,0.464,14.4,67.2,0.214,,721049.0,,1982,True,False,
Phoenix Suns,26.4,46.0,36.0,50.0,32.0,3.45,-0.4,3.05,105.8,102.4,3.4,99.5,0.302,0.024,0.538,0.495,15.9,32.2,0.229,0.47,14.6,68.5,0.233,Arizona Veterans Memorial Coliseum,486855.0,11871.0,1982,True,False,
San Antonio Spurs,26.1,48.0,34.0,47.0,35.0,2.3,-0.52,1.79,109.9,107.6,2.3,102.5,0.307,0.033,0.537,0.49,13.0,34.0,0.238,0.487,13.7,68.8,0.256,HemisFair Arena,434278.0,10592.0,1982,True,False,
Golden State Warriors,25.1,45.0,37.0,44.0,38.0,1.04,-0.24,0.8,108.8,107.7,1.1,101.4,0.324,0.044,0.541,0.502,14.5,34.8,0.233,0.493,14.1,68.8,0.256,Oakland-Alameda County Coliseum Arena,391726.0,9554.0,1982,False,False,
Washington Bullets,26.0,43.0,39.0,43.0,39.0,0.88,0.19,1.06,103.3,102.5,0.8,99.4,0.294,0.033,0.524,0.478,14.7,29.4,0.227,0.468,13.9,69.9,0.228,Capital Centre,379891.0,9266.0,1982,True,False,
New Jersey Nets,25.1,44.0,38.0,43.0,39.0,0.68,0.18,0.87,103.0,102.3,0.7,103.1,0.326,0.02,0.529,0.487,16.6,33.7,0.237,0.486,18.3,67.0,0.281,Brendan Byrne Arena,560734.0,13676.0,1982,True,False,
Portland Trail Blazers,24.7,42.0,40.0,43.0,39.0,0.6,-0.21,0.39,108.8,108.2,0.6,100.5,0.332,0.019,0.547,0.507,14.4,32.5,0.239,0.502,15.0,65.9,0.223,Memorial Coliseum,519306.0,12666.0,1982,False,False,
Atlanta Hawks,26.5,42.0,40.0,43.0,39.0,0.54,0.27,0.81,105.1,104.6,0.5,95.1,0.352,0.019,0.529,0.476,14.6,32.2,0.271,0.473,15.6,67.6,0.282,Omni Coliseum,314593.0,7673.0,1982,True,False,
Denver Nuggets,27.0,46.0,36.0,42.0,40.0,0.52,-0.4,0.13,114.3,113.9,0.4,109.8,0.389,0.019,0.578,0.522,14.1,31.8,0.31,0.528,13.9,64.3,0.213,McNichols Sports Arena,456857.0,11143.0,1982,True,False,
Houston Rockets,28.3,46.0,36.0,41.0,41.0,-0.04,-0.36,-0.39,108.3,108.3,0.0,97.2,0.302,0.024,0.52,0.479,13.7,37.8,0.22,0.5,14.3,66.1,0.209,The Summit,480190.0,11713.0,1982,True,False,
Detroit Pistons,24.4,39.0,43.0,39.0,43.0,-0.91,0.28,-0.63,105.8,106.6,-0.8,104.3,0.349,0.029,0.534,0.485,16.0,34.8,0.262,0.512,16.4,66.9,0.224,Pontiac Silverdome,391205.0,9542.0,1982,False,False,
Indiana Pacers,27.0,35.0,47.0,36.0,46.0,-1.87,0.38,-1.49,102.7,104.6,-1.9,98.7,0.304,0.044,0.516,0.472,14.6,30.5,0.225,0.494,15.9,66.3,0.221,Market Square Arena,309633.0,7552.0,1982,False,False,
Chicago Bulls,26.5,34.0,48.0,36.0,46.0,-2.02,0.45,-1.57,106.6,108.6,-2.0,99.0,0.378,0.032,0.557,0.505,17.3,33.6,0.29,0.499,13.2,69.0,0.207,Chicago Stadium,372613.0,9088.0,1982,False,False,
New York Knicks,28.0,33.0,49.0,34.0,48.0,-2.67,0.52,-2.15,106.0,108.6,-2.6,99.5,0.302,0.03,0.535,0.495,15.4,33.1,0.223,0.508,15.4,66.9,0.255,Madison Square Garden (IV),451140.0,11003.0,1982,False,False,
Kansas City Kings,24.0,30.0,52.0,33.0,49.0,-3.1,-0.15,-3.25,104.2,107.2,-3.0,101.8,0.296,0.018,0.533,0.497,15.5,29.9,0.213,0.504,16.5,66.0,0.287,Kemper Arena,305665.0,7455.0,1982,False,False,
Dallas Mavericks,24.4,28.0,54.0,29.0,53.0,-4.43,-0.06,-4.48,105.9,110.4,-4.5,98.5,0.328,0.026,0.519,0.473,13.7,33.9,0.241,0.51,14.5,66.8,0.266,Reunion Arena,380484.0,9280.0,1982,False,False,
Utah Jazz,24.9,25.0,57.0,27.0,55.0,-5.66,0.03,-5.63,106.2,111.7,-5.5,103.9,0.306,0.013,0.538,0.496,14.5,30.6,0.23,0.513,14.1,65.3,0.244,Salt Palace,311779.0,7353.0,1982,False,False,
San Diego Clippers,25.4,17.0,65.0,23.0,59.0,-7.39,0.34,-7.05,106.6,113.8,-7.2,101.4,0.33,0.048,0.547,0.507,16.2,33.2,0.238,0.529,13.9,68.0,0.28,San Diego Sports Arena,225036.0,5489.0,1982,False,False,
Cleveland Cavaliers,26.1,15.0,67.0,20.0,62.0,-8.51,0.74,-7.77,103.3,111.8,-8.5,99.3,0.297,0.019,0.51,0.466,13.7,32.0,0.222,0.515,14.7,65.9,0.271,Coliseum at Richfield,232421.0,5742.0,1982,False,False,
League Average,26.1,,,41.0,41.0,0.0,0.0,0.0,106.9,106.9,,100.9,0.324,0.026,0.539,0.495,15.0,33.0,0.241,0.495,15.0,67.0,0.241,,429808.0,10141.0,1982,False,False,
Los Angeles Lakers,27.0,12.0,2.0,10.0,4.0,,,,111.9,106.0,5.9,103.1,0.316,0.009,0.555,0.518,14.9,38.5,0.228,0.477,13.1,66.0,0.193,,,,1982,,True,0.857
Boston Celtics,27.2,7.0,5.0,8.0,4.0,,,,105.4,99.8,5.6,97.9,0.345,0.025,0.513,0.465,14.9,39.3,0.252,0.435,14.7,67.6,0.252,,,,1982,,True,0.583
Seattle Supersonics,27.3,3.0,5.0,5.0,3.0,,,,105.1,102.7,2.4,94.7,0.339,0.019,0.502,0.446,12.7,34.1,0.261,0.438,12.6,64.9,0.218,,,,1982,,True,0.375
Philadelphia 76ers,27.7,12.0,9.0,11.0,10.0,,,,107.3,106.0,1.3,98.0,0.339,0.019,0.539,0.493,14.8,33.4,0.252,0.473,15.7,60.1,0.255,,,,1982,,True,0.571
Denver Nuggets,27.0,1.0,2.0,1.0,2.0,,,,112.6,114.2,-1.6,106.0,0.285,0.027,0.547,0.497,11.8,31.1,0.237,0.538,14.4,61.9,0.192,,,,1982,,True,0.333
Washington Bullets,25.6,3.0,4.0,3.0,4.0,,,,100.2,101.8,-1.6,95.6,0.31,0.04,0.493,0.44,15.3,32.1,0.242,0.462,14.0,66.8,0.238,,,,1982,,True,0.429
Milwaukee Bucks,27.3,2.0,4.0,2.0,4.0,,,,109.3,113.0,-3.7,93.8,0.405,0.049,0.531,0.481,14.9,38.3,0.291,0.531,15.3,66.0,0.281,,,,1982,,True,0.333
San Antonio Spurs,26.1,4.0,5.0,3.0,6.0,,,,105.4,109.5,-4.1,101.9,0.302,0.033,0.507,0.463,13.2,35.1,0.222,0.489,13.0,69.5,0.275,,,,1982,,True,0.444
Houston Rockets,28.7,1.0,2.0,1.0,2.0,,,,101.2,107.0,-5.8,86.0,0.225,0.033,0.438,0.395,8.6,36.8,0.173,0.432,9.8,59.6,0.186,,,,1982,,True,0.333
Phoenix Suns,26.5,2.0,5.0,2.0,5.0,,,,106.7,113.0,-6.3,103.1,0.236,0.032,0.524,0.491,14.2,34.1,0.176,0.521,14.7,62.5,0.225,,,,1982,,True,0.286
New Jersey Nets,24.4,0.0,2.0,0.0,2.0,,,,90.9,103.3,-12.4,96.3,0.236,0.052,0.456,0.431,14.3,31.0,0.144,0.488,18.6,69.2,0.269,,,,1982,,True,0.0
Atlanta Hawks,26.1,0.0,2.0,0.0,2.0,,,,91.9,112.3,-20.4,88.4,0.4,0.02,0.485,0.42,18.1,30.6,0.3,0.541,16.2,65.2,0.248,,,,1982,,True,0.0
League Average,27.0,,,4.0,4.0,,,,106.3,106.3,,98.4,0.319,0.026,0.521,0.476,14.3,35.3,0.237,0.476,14.3,64.7,0.237,,,,1982,,True,
Philadelphia 76ers,26.7,65.0,17.0,60.0,22.0,7.67,-0.14,7.53,108.3,100.9,7.4,102.7,0.367,0.015,0.549,0.501,16.3,37.1,0.273,0.464,15.8,66.2,0.217,The Spectrum,612203.0,15351.0,1983,True,False,
Los Angeles Lakers,26.9,58.0,24.0,55.0,27.0,5.55,-0.49,5.06,110.5,105.2,5.3,103.8,0.27,0.013,0.561,0.528,15.9,36.3,0.199,0.494,15.5,65.3,0.191,The Forum,598739.0,14603.0,1983,True,False,
Boston Celtics,27.3,56.0,26.0,55.0,27.0,5.35,-0.01,5.34,106.9,101.8,5.1,104.0,0.311,0.025,0.536,0.494,15.2,34.7,0.229,0.473,16.0,68.1,0.236,Boston Garden,621829.0,15320.0,1983,True,False,
Phoenix Suns,26.6,53.0,29.0,54.0,28.0,5.06,-0.45,4.61,105.1,100.1,5.0,101.6,0.306,0.022,0.54,0.499,16.0,32.0,0.227,0.458,15.9,67.5,0.235,Arizona Veterans Memorial Coliseum,465603.0,11356.0,1983,True,False,
Milwaukee Bucks,28.1,51.0,31.0,53.0,29.0,4.4,-0.08,4.32,105.8,101.4,4.4,100.0,0.322,0.024,0.537,0.491,15.1,31.8,0.243,0.459,15.5,65.5,0.228,MECCA Arena,425572.0,10380.0,1983,True,False,
San Antonio Spurs,27.2,53.0,29.0,50.0,32.0,3.66,-0.56,3.1,110.1,106.6,3.5,103.3,0.336,0.042,0.556,0.51,15.1,35.3,0.257,0.489,14.4,69.1,0.228,HemisFair Arena,379876.0,9265.0,1983,True,False,
Seattle SuperSonics,27.4,48.0,34.0,49.0,33.0,3.21,-0.33,2.88,105.9,102.8,3.1,103.2,0.338,0.019,0.539,0.496,15.5,32.5,0.247,0.464,14.3,66.2,0.21,,539622.0,,1983,True,False,
New Jersey Nets,25.2,49.0,33.0,49.0,33.0,2.77,0.01,2.77,101.6,98.9,2.7,104.0,0.322,0.021,0.532,0.494,18.7,36.8,0.227,0.481,18.9,68.8,0.251,Brendan Byrne Arena,530801.0,12946.0,1983,True,False,
New York Knicks,26.5,44.0,38.0,48.0,34.0,2.45,0.13,2.58,102.4,99.9,2.5,97.0,0.336,0.019,0.526,0.484,16.2,31.6,0.239,0.478,18.1,67.8,0.257,Madison Square Garden (IV),438823.0,10703.0,1983,True,False,
Portland Trail Blazers,25.5,46.0,36.0,47.0,35.0,2.13,-0.25,1.88,106.0,103.9,2.1,101.0,0.353,0.021,0.535,0.488,15.4,33.3,0.26,0.49,16.0,67.9,0.218,Memorial Coliseum,483974.0,11786.0,1983,True,False,
Kansas City Kings,24.5,45.0,37.0,45.0,37.0,1.45,-0.41,1.04,106.2,104.9,1.3,106.6,0.338,0.029,0.542,0.5,16.4,34.3,0.246,0.49,16.8,65.8,0.291,Kemper Arena,309597.0,7772.0,1983,False,False,
Denver Nuggets,27.2,45.0,37.0,42.0,40.0,0.62,-0.36,0.27,109.7,109.1,0.6,112.1,0.337,0.016,0.55,0.495,14.0,31.0,0.272,0.509,15.1,64.8,0.22,McNichols Sports Arena,491253.0,11982.0,1983,True,False,
Washington Bullets,25.8,42.0,40.0,41.0,41.0,-0.13,0.33,0.2,99.1,99.3,-0.2,99.4,0.292,0.034,0.511,0.473,16.6,30.4,0.206,0.471,16.2,68.6,0.214,Capital Centre,368281.0,8982.0,1983,False,False,
Detroit Pistons,24.6,37.0,45.0,40.0,42.0,-0.4,0.24,-0.17,105.4,105.8,-0.4,105.8,0.34,0.036,0.529,0.481,15.1,33.6,0.253,0.496,15.4,66.2,0.214,Pontiac Silverdome,482571.0,11770.0,1983,False,False,
Dallas Mavericks,24.2,38.0,44.0,40.0,42.0,-0.41,-0.29,-0.7,109.4,109.8,-0.4,102.8,0.326,0.025,0.535,0.489,13.5,34.8,0.245,0.506,14.0,66.2,0.228,Reunion Arena,487155.0,11882.0,1983,False,False,
Atlanta Hawks,26.6,43.0,39.0,38.0,44.0,-0.95,0.23,-0.72,102.2,103.2,-1.0,98.9,0.295,0.026,0.516,0.472,15.0,30.7,0.222,0.473,15.2,65.1,0.223,Omni Coliseum,292126.0,7125.0,1983,True,False,
Golden State Warriors,24.7,30.0,52.0,32.0,50.0,-3.62,0.14,-3.48,103.9,107.4,-3.5,104.0,0.293,0.02,0.526,0.485,15.9,33.9,0.216,0.513,16.9,64.6,0.241,Oakland-Alameda County Coliseum Arena,341365.0,8326.0,1983,False,False,
Utah Jazz,25.8,30.0,52.0,30.0,52.0,-4.2,-0.03,-4.22,101.2,105.1,-3.9,107.3,0.332,0.025,0.531,0.483,16.7,29.0,0.251,0.481,15.2,63.9,0.208,Salt Palace,355219.0,8664.0,1983,False,False,
Chicago Bulls,24.5,28.0,54.0,29.0,53.0,-4.89,0.48,-4.41,103.4,108.0,-4.6,106.1,0.365,0.028,0.532,0.483,16.9,34.0,0.269,0.498,14.3,67.9,0.237,Chicago Stadium,296411.0,7230.0,1983,False,False,
San Diego Clippers,24.8,25.0,57.0,29.0,53.0,-4.83,0.22,-4.61,104.7,109.3,-4.6,103.0,0.288,0.034,0.518,0.479,15.7,37.1,0.208,0.531,17.6,65.8,0.284,San Diego Sports Arena,195883.0,4778.0,1983,False,False,
Indiana Pacers,24.9,20.0,62.0,27.0,55.0,-5.85,0.49,-5.36,103.8,109.4,-5.6,103.9,0.247,0.031,0.52,0.483,15.2,33.6,0.187,0.52,16.4,65.5,0.249,Market Square Arena,188642.0,4601.0,1983,False,False,
Cleveland Cavaliers,26.4,23.0,59.0,22.0,60.0,-7.44,0.66,-6.78,99.2,106.8,-7.6,97.6,0.283,0.017,0.506,0.467,16.4,33.0,0.204,0.492,13.8,71.3,0.258,Coliseum at Richfield,160537.0,3916.0,1983,False,False,
Houston Rockets,29.0,14.0,68.0,14.0,68.0,-11.6,0.48,-11.12,97.0,108.3,-11.3,102.2,0.26,0.036,0.491,0.453,15.9,30.8,0.188,0.505,15.4,65.4,0.246,The Summit,291315.0,7105.0,1983,False,False,
League Average,26.2,,,41.0,41.0,0.0,0.0,0.0,104.7,104.7,,103.1,0.315,0.025,0.531,0.488,15.8,33.4,0.233,0.488,15.8,66.6,0.233,,406843.0,9799.0,1983,False,False,
Philadelphia 76ers,27.4,12.0,1.0,9.0,4.0,,,,108.0,101.4,6.6,97.2,0.363,0.009,0.539,0.494,15.6,36.8,0.262,0.459,15.4,66.0,0.224,,,,1983,,True,0.923
San Antonio Spurs,27.6,6.0,5.0,7.0,4.0,,,,110.8,106.9,3.9,108.1,0.251,0.054,0.55,0.516,13.6,33.7,0.189,0.492,13.5,71.0,0.227,,,,1983,,True,0.545
Milwaukee Bucks,28.0,5.0,4.0,5.0,4.0,,,,105.7,102.8,2.9,94.9,0.302,0.027,0.511,0.468,14.1,37.6,0.222,0.471,14.8,68.0,0.223,,,,1983,,True,0.556
Los Angeles Lakers,27.7,8.0,7.0,8.0,7.0,,,,108.1,107.5,0.6,100.8,0.287,0.027,0.542,0.503,14.6,33.3,0.215,0.497,15.0,63.9,0.209,,,,1983,,True,0.533
New York Knicks,27.0,2.0,4.0,3.0,3.0,,,,107.0,107.8,-0.8,97.1,0.371,0.039,0.543,0.49,15.1,30.9,0.284,0.494,15.2,63.3,0.248,,,,1983,,True,0.333
Portland Trail Blazers,25.5,3.0,4.0,3.0,4.0,,,,106.8,108.0,-1.2,97.6,0.325,0.018,0.531,0.489,13.9,30.1,0.236,0.494,12.9,65.3,0.207,,,,1983,,True,0.429
Phoenix Suns,26.6,1.0,2.0,1.0,2.0,,,,105.2,107.1,-1.9,101.7,0.245,0.026,0.49,0.449,10.6,32.2,0.186,0.502,12.7,74.5,0.204,,,,1983,,True,0.333
Boston Celtics,27.4,2.0,5.0,3.0,4.0,,,,99.7,103.0,-3.3,96.3,0.261,0.04,0.486,0.442,13.7,31.7,0.2,0.466,13.9,68.3,0.229,,,,1983,,True,0.286
Denver Nuggets,26.7,3.0,5.0,2.0,6.0,,,,103.9,110.7,-6.8,109.7,0.282,0.028,0.529,0.483,13.2,25.3,0.224,0.497,11.5,69.0,0.196,,,,1983,,True,0.375
Atlanta Hawks,26.5,1.0,2.0,1.0,2.0,,,,92.8,101.4,-8.6,96.6,0.287,0.016,0.483,0.439,14.7,24.3,0.211,0.436,14.3,63.6,0.201,,,,1983,,True,0.333
New Jersey Nets,24.9,0.0,2.0,0.0,2.0,,,,105.6,114.3,-8.7,97.6,0.278,0.044,0.51,0.469,14.0,39.1,0.206,0.534,15.8,65.8,0.309,,,,1983,,True,0.0
Seattle Supersonics,27.8,0.0,2.0,0.0,2.0,,,,99.9,110.3,-10.4,96.6,0.256,0.031,0.445,0.405,9.6,36.3,0.179,0.481,11.0,75.3,0.352,,,,1983,,True,0.0
League Average,27.2,,,4.0,4.0,,,,106.1,106.1,,100.2,0.297,0.03,0.526,0.484,14.0,32.8,0.222,0.484,14.0,67.2,0.222,,,,1983,,True,
Boston Celtics,28.0,62.0,20.0,57.0,25.0,6.56,-0.14,6.42,110.9,104.4,6.5,99.7,0.333,0.032,0.554,0.504,14.6,34.2,0.264,0.475,13.8,69.7,0.225,Boston Garden,606857.0,14890.0,1984,True,False,
Milwaukee Bucks,28.4,50.0,32.0,52.0,30.0,4.16,-0.12,4.04,107.8,103.6,4.2,96.9,0.338,0.033,0.541,0.497,15.0,33.7,0.25,0.459,14.7,65.6,0.266,MECCA Arena,393301.0,9593.0,1984,True,False,
New York Knicks,27.2,47.0,35.0,51.0,31.0,3.84,-0.05,3.79,107.0,103.1,3.9,99.0,0.367,0.024,0.552,0.499,16.7,33.4,0.284,0.491,17.8,68.1,0.281,Madison Square Garden (IV),487649.0,12100.0,1984,True,False,
Los Angeles Lakers,27.5,54.0,28.0,50.0,32.0,3.76,-0.44,3.32,110.9,107.3,3.6,103.7,0.313,0.031,0.574,0.536,16.1,33.7,0.236,0.487,14.3,66.6,0.232,The Forum,622401.0,15181.0,1984,True,False,
Portland Trail Blazers,25.8,48.0,34.0,50.0,32.0,3.55,-0.42,3.13,111.2,107.7,3.5,101.1,0.367,0.018,0.556,0.507,15.1,36.4,0.277,0.518,17.0,67.4,0.259,Memorial Coliseum,518306.0,12642.0,1984,True,False,
Detroit Pistons,25.4,49.0,33.0,50.0,32.0,3.59,-0.06,3.52,111.5,108.1,3.4,103.8,0.322,0.018,0.532,0.482,12.7,36.7,0.25,0.5,14.8,67.7,0.263,Pontiac Silverdome,652865.0,15924.0,1984,True,False,
Philadelphia 76ers,27.7,52.0,30.0,47.0,35.0,2.2,0.2,2.39,106.8,104.6,2.2,99.6,0.396,0.016,0.551,0.497,16.9,34.6,0.299,0.484,16.0,65.9,0.246,The Spectrum,588139.0,14345.0,1984,True,False,
New Jersey Nets,25.5,45.0,37.0,44.0,38.0,1.1,0.17,1.27,106.1,105.0,1.1,103.0,0.343,0.032,0.54,0.501,16.1,34.6,0.24,0.494,17.0,67.8,0.292,Brendan Byrne Arena,499496.0,12182.0,1984,True,False,
Utah Jazz,26.9,45.0,37.0,44.0,38.0,1.13,-0.32,0.81,109.0,108.0,1.0,104.9,0.374,0.044,0.559,0.505,15.2,30.8,0.292,0.479,13.9,63.4,0.229,Salt Palace,400065.0,10347.0,1984,True,False,
Phoenix Suns,27.2,41.0,41.0,43.0,39.0,0.89,-0.24,0.65,108.9,108.0,0.9,101.4,0.305,0.04,0.556,0.514,15.1,31.4,0.232,0.501,15.3,68.3,0.277,Arizona Veterans Memorial Coliseum,445788.0,10873.0,1984,True,False,
Dallas Mavericks,24.7,43.0,39.0,42.0,40.0,0.43,-0.27,0.15,110.0,109.6,0.4,99.0,0.325,0.025,0.547,0.503,13.6,31.7,0.245,0.503,14.4,65.7,0.232,Reunion Arena,538162.0,13126.0,1984,True,False,
Seattle SuperSonics,27.1,42.0,40.0,41.0,41.0,-0.17,-0.17,-0.34,107.9,108.1,-0.2,99.7,0.347,0.02,0.543,0.49,14.3,30.7,0.271,0.492,13.8,66.6,0.226,,425307.0,,1984,True,False,
San Antonio Spurs,27.4,37.0,45.0,40.0,42.0,-0.27,-0.23,-0.5,111.2,111.4,-0.2,106.5,0.337,0.034,0.556,0.511,14.0,33.4,0.255,0.508,13.7,66.2,0.233,HemisFair Arena,375900.0,9168.0,1984,False,False,
Denver Nuggets,27.0,38.0,44.0,38.0,44.0,-1.1,-0.17,-1.27,111.3,112.3,-1.0,110.5,0.337,0.032,0.553,0.498,12.8,29.3,0.276,0.522,14.6,66.6,0.277,McNichols Sports Arena,462407.0,11278.0,1984,True,False,
Atlanta Hawks,26.6,40.0,42.0,37.0,45.0,-1.29,0.22,-1.08,105.5,106.9,-1.4,95.3,0.355,0.016,0.529,0.476,14.4,31.6,0.27,0.482,15.1,65.2,0.268,Omni Coliseum,286049.0,6977.0,1984,True,False,
Kansas City Kings,26.2,38.0,44.0,37.0,45.0,-1.48,-0.15,-1.62,106.5,108.0,-1.5,102.9,0.345,0.026,0.542,0.49,15.3,32.4,0.268,0.505,16.1,66.9,0.266,Kemper Arena,370270.0,9031.0,1984,True,False,
Houston Rockets,26.8,29.0,53.0,33.0,49.0,-3.09,-0.04,-3.12,105.3,108.2,-2.9,104.7,0.284,0.02,0.535,0.497,15.6,32.8,0.21,0.486,14.1,67.5,0.285,The Summit,425755.0,10384.0,1984,False,False,
Washington Bullets,26.2,35.0,47.0,33.0,49.0,-2.89,0.53,-2.36,104.2,107.2,-3.0,97.4,0.319,0.041,0.535,0.489,15.5,30.1,0.241,0.492,13.7,69.7,0.239,Capital Centre,317447.0,7743.0,1984,True,False,
San Diego Clippers,25.5,30.0,52.0,33.0,49.0,-3.26,0.04,-3.21,109.2,112.4,-3.2,101.1,0.331,0.017,0.541,0.498,15.3,37.7,0.244,0.513,12.9,68.2,0.236,San Diego Sports Arena,218534.0,5330.0,1984,False,False,
Golden State Warriors,25.6,37.0,45.0,32.0,50.0,-3.4,0.05,-3.35,105.5,108.8,-3.3,103.3,0.342,0.03,0.52,0.471,14.9,35.6,0.254,0.519,17.0,64.2,0.25,Oakland-Alameda County Coliseum Arena,316844.0,7728.0,1984,False,False,
Cleveland Cavaliers,25.4,28.0,54.0,30.0,52.0,-4.26,0.55,-3.71,104.1,108.5,-4.4,97.4,0.301,0.023,0.512,0.468,14.0,33.5,0.224,0.49,13.2,70.8,0.28,Coliseum at Richfield,208094.0,5075.0,1984,False,False,
Indiana Pacers,24.4,26.0,56.0,28.0,54.0,-4.82,0.57,-4.25,101.8,106.5,-4.7,102.1,0.297,0.029,0.531,0.487,15.9,28.1,0.228,0.497,16.2,66.8,0.255,Market Square Arena,410626.0,10015.0,1984,False,False,
Chicago Bulls,24.4,27.0,55.0,28.0,54.0,-5.18,0.5,-4.69,102.4,107.5,-5.1,99.8,0.36,0.017,0.526,0.475,16.3,32.3,0.268,0.497,15.6,67.2,0.266,Chicago Stadium,256430.0,6254.0,1984,False,False,
League Average,26.4,,,41.0,41.0,0.0,0.0,0.0,107.6,107.6,,101.4,0.336,0.027,0.543,0.495,15.0,33.0,0.255,0.495,15.0,67.0,0.255,,427247.0,10449.0,1984,False,False,
Los Angeles Lakers,27.1,14.0,7.0,15.0,6.0,,,,114.7,108.0,6.7,100.1,0.32,0.039,0.574,0.539,13.6,32.4,0.23,0.467,13.3,64.2,0.264,,,,1984,,True,0.667
Boston Celtics,28.0,15.0,8.0,15.0,8.0,,,,111.6,107.4,4.2,98.0,0.399,0.031,0.54,0.478,13.5,35.7,0.313,0.494,14.5,68.2,0.267,,,,1984,,True,0.652
Milwaukee Bucks,28.0,8.0,8.0,8.0,8.0,,,,105.9,105.1,0.8,96.7,0.432,0.06,0.549,0.49,16.3,31.8,0.326,0.441,13.9,66.4,0.344,,,,1984,,True,0.5
Detroit Pistons,25.4,2.0,3.0,3.0,2.0,,,,109.2,108.6,0.6,100.6,0.403,0.02,0.531,0.468,13.6,35.3,0.314,0.497,14.8,65.9,0.264,,,,1984,,True,0.4
New Jersey Nets,25.7,5.0,6.0,6.0,5.0,,,,102.7,102.2,0.5,98.6,0.433,0.046,0.503,0.45,14.9,36.3,0.297,0.478,18.9,68.8,0.341,,,,1984,,True,0.455
Phoenix Suns,27.5,9.0,8.0,8.0,9.0,,,,110.1,110.3,-0.2,97.8,0.317,0.034,0.548,0.503,13.9,33.2,0.242,0.499,13.9,67.7,0.28,,,,1984,,True,0.529
Seattle Supersonics,27.4,2.0,3.0,2.0,3.0,,,,105.0,105.2,-0.2,90.5,0.2,0.045,0.506,0.478,11.0,28.1,0.143,0.432,10.8,68.1,0.253,,,,1984,,True,0.4
Denver Nuggets,27.2,2.0,3.0,2.0,3.0,,,,114.8,115.4,-0.6,106.1,0.291,0.078,0.569,0.517,12.4,30.4,0.251,0.522,13.3,70.6,0.321,,,,1984,,True,0.4
Utah Jazz,26.8,5.0,6.0,5.0,6.0,,,,109.4,110.6,-1.2,100.3,0.397,0.062,0.553,0.494,14.6,31.1,0.31,0.488,12.7,67.5,0.24,,,,1984,,True,0.455
Portland Trail Blazers,25.8,2.0,3.0,2.0,3.0,,,,112.7,115.3,-2.6,97.5,0.444,0.029,0.545,0.481,12.2,34.6,0.342,0.539,13.2,69.5,0.263,,,,1984,,True,0.4
Philadelphia 76ers,28.3,2.0,3.0,2.0,3.0,,,,102.5,105.6,-3.1,101.3,0.35,0.037,0.554,0.486,19.0,29.6,0.305,0.505,17.7,62.4,0.246,,,,1984,,True,0.4
Washington Bullets,26.6,1.0,3.0,2.0,2.0,,,,103.9,107.0,-3.1,87.9,0.226,0.053,0.535,0.492,14.8,27.2,0.191,0.467,10.8,72.1,0.26,,,,1984,,True,0.25
New York Knicks,27.0,6.0,6.0,4.0,8.0,,,,106.8,111.7,-4.9,99.0,0.376,0.024,0.541,0.49,15.6,34.6,0.282,0.485,14.0,62.8,0.298,,,,1984,,True,0.5
Dallas Mavericks,24.6,4.0,6.0,3.0,7.0,,,,106.3,113.7,-7.4,93.8,0.29,0.033,0.501,0.443,11.4,33.5,0.242,0.525,11.9,67.4,0.172,,,,1984,,True,0.4
Kansas City Kings,26.0,0.0,3.0,1.0,2.0,,,,103.4,111.5,-8.1,99.6,0.292,0.053,0.487,0.436,11.7,33.1,0.228,0.53,14.7,69.4,0.257,,,,1984,,True,0.0
Atlanta Hawks,26.4,2.0,3.0,1.0,4.0,,,,100.4,110.4,-10.0,93.3,0.394,0.027,0.494,0.423,14.6,31.6,0.312,0.539,16.8,67.8,0.296,,,,1984,,True,0.4
