team_id,team,g,mp,fg,fga,fg_percentage,threeP,threePA,threeP_percentage,twoP,twoPA,twoP_percentage,ft,fta,ft_percentage,orb,drb,trb,ast,stl,blk,tov,pf,pts,year,playoffs,playoffs_s
1610612747,Minneapolis Lakers,12,-99,29.5,80.3,0.368,-99.0,-99.0,-99.0,29.5,80.3,0.368,25.5,35.2,0.725,-99.0,-99.0,-99.0,17.9,-99.0,-99.0,-99.0,26.8,84.5,1950,Y,Y
1610612765,Fort Wayne Pistons,4,-99,27.0,84.5,0.32,-99.0,-99.0,-99.0,27.0,84.5,0.32,28.5,39.3,0.726,-99.0,-99.0,-99.0,16.3,-99.0,-99.0,-99.0,31.8,82.5,1950,Y,Y
1610612758,Rochester Royals,2,-99,27.0,70.5,0.383,-99.0,-99.0,-99.0,27.0,70.5,0.383,27.0,35.0,0.771,-99.0,-99.0,-99.0,16.5,-99.0,-99.0,-99.0,34.0,81.0,1950,Y,Y
1610612755,Syracuse Nationals,11,-99,27.3,77.7,0.351,-99.0,-99.0,-99.0,27.3,77.7,0.351,26.5,37.0,0.715,-99.0,-99.0,-99.0,19.9,-99.0,-99.0,-99.0,28.3,81.0,1950,Y,Y
1610612737,Tri-Cities Blackhawks,3,-99,21.7,76.7,0.283,-99.0,-99.0,-99.0,21.7,76.7,0.283,31.3,46.7,0.671,-99.0,-99.0,-99.0,14.7,-99.0,-99.0,-99.0,37.0,74.7,1950,Y,Y
1610612744,Philadelphia Warriors,2,-99,24.5,80.0,0.306,-99.0,-99.0,-99.0,24.5,80.0,0.306,15.5,26.5,0.585,-99.0,-99.0,-99.0,16.0,-99.0,-99.0,-99.0,31.0,64.5,1950,Y,Y
1610612755,Syracuse Nationals,66,-99,28.5,81.3,0.351,-99.0,-99.0,-99.0,28.5,81.3,0.351,29.0,39.9,0.726,-99.0,-99.0,49.4,22.6,-99.0,-99.0,-99.0,30.2,86.1,1951,Y,N
1610612752,New York Knicks,66,-99,30.9,81.5,0.379,-99.0,-99.0,-99.0,30.9,81.5,0.379,24.1,33.8,0.714,-99.0,-99.0,51.8,23.5,-99.0,-99.0,-99.0,27.4,85.8,1951,Y,N
1610612744,Philadelphia Warriors,66,-99,30.1,85.8,0.35,-99.0,-99.0,-99.0,30.1,85.8,0.35,25.2,33.0,0.763,-99.0,-99.0,54.3,21.7,-99.0,-99.0,-99.0,25.9,85.4,1951,Y,N
1610612738,Boston Celtics,69,-99,29.9,81.3,0.368,-99.0,-99.0,-99.0,29.9,81.3,0.368,25.4,35.0,0.725,-99.0,-99.0,50.7,22.9,-99.0,-99.0,-99.0,27.3,85.2,1951,Y,N
1610612758,Rochester Royals,68,-99,29.9,79.1,0.378,-99.0,-99.0,-99.0,29.9,79.1,0.378,24.9,33.1,0.753,-99.0,-99.0,44.3,20.1,-99.0,-99.0,-99.0,22.6,84.6,1951,Y,N
1610612737,Tri-Cities Blackhawks,68,-99,29.2,88.8,0.329,-99.0,-99.0,-99.0,29.2,88.8,0.329,25.8,35.7,0.723,-99.0,-99.0,54.6,21.7,-99.0,-99.0,-99.0,30.8,84.3,1951,N,N
1610612765,Fort Wayne Pistons,68,-99,29.4,87.2,0.338,-99.0,-99.0,-99.0,29.4,87.2,0.338,25.3,35.1,0.72,-99.0,-99.0,54.8,16.8,-99.0,-99.0,-99.0,28.8,84.1,1951,Y,N
1610612747,Minneapolis Lakers,68,-99,30.6,82.2,0.373,-99.0,-99.0,-99.0,30.6,82.2,0.373,21.5,29.3,0.736,-99.0,-99.0,50.1,20.7,-99.0,-99.0,-99.0,26.5,82.8,1951,Y,N
1610612764,Baltimore Bullets,66,-99,29.6,84.0,0.353,-99.0,-99.0,-99.0,29.6,84.0,0.353,22.8,30.6,0.745,-99.0,-99.0,46.1,20.4,-99.0,-99.0,-99.0,26.3,82.0,1951,N,N
1610612755,Syracuse Nationals,7,-99,29.6,78.7,0.376,-99.0,-99.0,-99.0,29.6,78.7,0.376,29.6,39.1,0.755,-99.0,-99.0,58.6,24.0,-99.0,-99.0,-99.0,34.0,88.7,1951,Y,Y
